product,date,actual,predicted,abs_error,unit_price,strategic_logic
RedBeanBread,2026-06-25,0,8,8,3.25,"The prediction was primarily driven by the 2026-05-16 tracker row which perfectly matched tomorrow's temperature (88/84 F) and CaryHigh_ Status (NO_STUDENT_DAY), with similar weather and no BOGO deal; CaryHigh_ Status showed no consistent correlation with waste for this highly unpredictable item; Shift_Notes indicating BOGO deals were discounted as they artificially suppress waste, and ""dead traffic"" notes did not provide a reliable pattern."
RedBeanMilkCreamBread,2026-06-25,8,0,8,3.5,"The prediction is based on multiple NO_STUDENT_DAY entries without BOGO deals that closely match tomorrow's temperature, humidity, and weather, all showing 0 waste for RedBeanMilkCreamBread; the school status 'NO_STUDENT_DAY' correlated with 0 waste when no BOGO deal was present; and BOGO deals were discounted as tomorrow has no such promotion."
StrawberryCreamCroissant,2026-06-25,7,0,7,5.55,"The prediction of zero is primarily driven by the 2026-05-16 row, which shares an exact temperature match with tomorrow (88/84F) and similar contextual factors of NO_STUDENT_DAY and no BOGO deal, showing waste for this item had no significant correlation with CaryHigh_ Status in non-promotional scenarios, and all BOGO-affected shifts were discounted to optimize for accuracy given tomorrow's lack of a deal."
StrawberrySoftBread,2026-06-25,3,0,3,4.25,"The prediction was primarily driven by the 2026-05-16 tracker row, which closely matched tomorrow's exact temperature and `NO_STUDENT_DAY` status with similar humidity and weather, resulting in 0 waste; `NO_STUDENT_DAY` consistently correlated with low waste for this item, and the absence of BOGO deals tomorrow meant discounting historically low-waste BOGO rows."
TaroButterCreamBread,2026-06-25,0,0,0,7.5,"The prediction of 0 waste is driven by two highly contextual matching rows (2026-05-16 and 2026-06-23) that shared key environmental conditions (perfect temperature match or perfect weather match, respectively) and recorded 0 waste under a NO_STUDENT_DAY without BOGO deals; CaryHigh_ Status did not clearly correlate with waste; the outlier high waste on 2026-06-18 was discounted as its ""Absolutely dead in terms of foot traffic"" Shift_Note indicated conditions for unusually low demand not specified for tomorrow."
UbeCreamDonut,2026-06-25,0,0,0,4.5,"The prediction is driven primarily by tracker row 2026-05-16, which is an exact match for tomorrow's temperature (88/84), a close match for humidity (0.27 vs 0.46), and a similar weather description (Scattered Clouds vs Partly Sunny), all on a NO_STUDENT_DAY with no BOGO, resulting in 0 waste. Additional support comes from 2026-06-18, which has very similar humidity (0.51 vs 0.46) and also resulted in 0 waste on a NO_STUDENT_DAY without BOGO. CaryHigh_ Status for this item showed no consistent correlation with higher or lower waste, as both NO_STUDENT_DAY and OPEN days had frequent 0 waste counts. Shift_Notes were critical, as BOGO deal rows were discounted, and the absence of specific event notes in the most similar rows was weighted higher than rows with notes like ""Light, sporadic rain"" (2026-06-23) or ""Absolutely dead"" (2026-06-18), where waste was 5 and 0 respectively."
AlmondCroissant,2026-06-26,1,0,1,3.75,"The prediction is driven by multiple `NO_STUDENT_DAY` tracker rows without BOGO deals (specifically 2026-05-16, 2026-05-24, and 2026-06-18), which closely matched tomorrow's temperature, humidity, and weather conditions and consistently showed 0 waste; `NO_STUDENT_DAY`s generally correlated with lower waste for this item compared to `OPEN` days; and rows with BOGO deals were discounted as tomorrow has no such deal, while ""Absolutely dead"" traffic notes did not consistently lead to higher waste."
ButterCreamBread,2026-06-26,0,0,0,7.5,"The prediction of 0 is primarily based on tracker row 2026-05-16, which most closely matched tomorrow's conditions with very similar temperatures (88/84 F vs. tomorrow's 86/82 F) and an absence of specific shift notes, aligning with tomorrow's implied lack of unusual events. CaryHigh_ Status did not show a clear correlation with waste for this item, as waste was generally low regardless of school status. Shift_Notes were crucial in discounting rows with BOGO deals and specific events like ""absolutely dead in terms of foot traffic,"" ensuring the closest comparable context for tomorrow's forecast."
ChestnutPanBread,2026-06-26,0,2,2,7.5,"The prediction is driven by row 2026-06-18, which most closely matches tomorrow's humidity and general weather, as CaryHigh_ Status did not show a clear waste correlation among non-BOGO days, and Shift_Notes with BOGO deals were discounted to ensure accuracy for tomorrow's non-promotional pricing."
ChocoCreamDonut,2026-06-26,0,0,0,4.5,"The prediction is primarily driven by the 2026-05-16 row, which featured similar high temperatures and no specific negative shift notes, resulting in 0 waste. CaryHigh_ Status did not show a clear, consistent correlation with waste for this item. Shift_Notes explaining waste (e.g., ""Absolutely dead in terms of foot traffic"" on 2026-06-18 or ""Light, sporadic rain"" on 2026-06-23) were considered but discounted as these specific negative conditions are not present for tomorrow, supporting a lower waste estimate."
ChocoFilledCookie,2026-06-26,0,0,0,3.25,"The prediction is driven by the consistent 0 waste count observed on all 'NO_STUDENT_DAY' rows without BOGO deals, aligning directly with tomorrow's conditions, suggesting CaryHigh_Status strongly correlates with zero waste for this item during school breaks, and Shift_Notes with BOGO deals were discounted as they artificially suppressed waste and are not applicable tomorrow."
CreamCheeseTart,2026-06-26,9,0,9,3.5,"The prediction of 0 waste is driven by the consistent pattern observed in `NO_STUDENT_DAY` tracker entries where CreamCheeseTart was not on a BOGO deal, particularly row 2026-05-30 due to its very close temperature match (86/84 vs tomorrow's 86/82) and rows 2026-05-24, 2026-06-18, 2026-06-23 due to close humidity matches. The `CaryHigh_ Status` showing `NO_STUDENT_DAY` correlated overwhelmingly with 0 waste for this item when no specific BOGO was applied to it, and `Shift_Notes` detailing BOGO deals specifically for CreamCheeseTart (2026-06-13, 2026-06-25) were discounted as instructed since tomorrow has no such deal."
CurryCroquette,2026-06-26,0,0,0,3.5,"The prediction is driven by all six historical `NO_STUDENT_DAY` shifts without any BOGO deals, including 2026-05-16 (similar temperature) and 2026-06-18 (similar humidity), which all consistently resulted in a 0 waste count for CurryCroquette. CaryHigh_ Status correlated with waste as `NO_STUDENT_DAY` shifts without BOGO always had 0 waste, whereas `REGULAR_SCHOOL_DAY` shifts without BOGO sometimes had 1 waste. All tracker rows with BOGO deals were discounted as tomorrow has no deal, preventing artificially suppressed or deflected waste counts from influencing the estimate."
JalapenoCheeseCroissant,2026-06-26,9,0,9,4.25,"The prediction is driven by the 2026-06-18 tracker entry, which closely matched tomorrow's NO_STUDENT_DAY status, comparable humidity (0.51 vs 0.6), and weather, resulting in zero waste; CaryHigh_ Status demonstrated no consistent correlation with waste for this item, and BOGO deals were discounted as tomorrow has no such promotion."
MangoCreamDonut,2026-06-26,0,0,0,4.5,"The prediction of 0 waste is primarily driven by tracker rows 2026-05-16 (88/84F, 0.27 humidity, Scattered Clouds) and 2026-06-18 (97/81F, 0.51 humidity, Broken Clouds), which closely match tomorrow's temperature, humidity, and weather conditions on NO_STUDENT_DAYs without BOGO deals, both recording 0 waste; CaryHigh_ Status showed no clear correlation with waste for this item, as waste was predominantly zero on both regular school days and no-student days, while Shift_Notes indicating BOGO deals were discounted, and the single non-zero waste on a non-BOGO day (2026-06-23, waste 1) was discounted due to light rain, which is not expected tomorrow."
MilkCreamBread,2026-06-26,2,0,2,3.5,"The prediction is driven by nine `NO_STUDENT_DAY` tracker rows (e.g., 2026-05-16, 2026-06-18) that showed 0 waste for MilkCreamBread when no specific BOGO deal was active for this item. `CaryHigh_ Status` correlated with 0 waste on `NO_STUDENT_DAY`s without a MilkCreamBread BOGO, indicating lower leftover counts compared to `REGULAR_SCHOOL_DAY`s which sometimes showed non-zero waste. `Shift_Notes` with MilkCreamBread BOGO deals were discounted as tomorrow has no such deal, so those artificially suppressed waste counts are not indicative of typical conditions."
MontBlancPastry,2026-06-26,0,1,1,6.0,"The prediction is driven by the 2026-05-30 row for its exact temperature match (86/84), inferring 1 leftover by discounting its BOGO deal which artificially suppresses waste; additionally, while 'NO_STUDENT_DAY' status generally correlates with low waste, the single non-BOGO instance of non-zero waste was 1, and tomorrow has no specific ""dead traffic"" Shift_Notes to guarantee zero waste."
MorningBread,2026-06-26,0,1,1,6.75,"The prediction is primarily driven by tracker rows 2026-06-17 (waste 1) and 2026-06-18 (waste 2), which were both NO_STUDENT_DAYs with no BOGO deals and explicitly noted ""Absolutely dead in terms of foot traffic"" or Traffic_Density 1. CaryHigh_ Status as NO_STUDENT_DAY correlates with higher waste for this item, as all non-BOGO waste occurred on these days. Shift_Notes indicated that ""Absolutely dead in terms of foot traffic"" significantly increased leftovers, and tomorrow's lack of BOGO combined with high humidity suggests a risk of similar slow traffic."
PlusMilkRoll,2026-06-26,0,0,0,6.5,"The prediction was driven by all NO_STUDENT_DAY entries without BOGO deals (e.g., 2026-05-16, 2026-06-18), which consistently showed 0 waste despite varying conditions; CaryHigh_ Status correlated with zero waste for this item on non-school days, and BOGO deals in Shift_Notes were discounted as they artificially suppress waste."
RedBeanBread,2026-06-26,3,8,5,3.25,"The prediction was driven primarily by the 2026-05-16 shift which closely matched tomorrow's temperature, weather, and NO_STUDENT_DAY status with neutral shift notes; CaryHigh_ Status showed no consistent correlation with waste for this unpredictable item, and Shift_Notes indicating BOGO deals were discounted, while specific extreme conditions like ""absolutely dead traffic"" were considered less representative."
RedBeanMilkCreamBread,2026-06-26,4,8,4,3.5,"The prediction heavily weighted row 2026-06-25 due to its close environmental match and 'NO_STUDENT_DAY' status; 'NO_STUDENT_DAY' generally shows higher potential waste for this item, and the BOGO deal noted on 2026-06-25 resulting in 8 waste units indicates naturally low demand, suggesting at least 8 units of waste tomorrow without a deal."
StrawberryCreamCroissant,2026-06-26,0,7,7,5.55,"The prediction primarily considers row 2026-06-25, which had an excellent temperature match (88/84 vs 86/82), a good humidity match (0.46 vs 0.6), and a matching NO_STUDENT_DAY status; all non-zero waste for this item occurred on NO_STUDENT_DAYs, highlighting its sensitivity to this status; the BOGO deal on other items in the Shift_Notes for 2026-06-25 suggests its recorded waste of 7 was potentially suppressed, implying tomorrow's waste without a BOGO deal could be at least 7 or higher."
StrawberrySoftBread,2026-06-26,0,3,3,4.25,"The prediction is primarily driven by tracker row 2026-06-25, which had very similar temperature (88/84F vs tomorrow's 86/82F), comparable humidity (0.46 vs tomorrow's 0.6), and similar weather (""Partly Sunny"" vs ""Mostly clear"") on a NO_STUDENT_DAY. The 'NO_STUDENT_DAY' status shows no clear strong correlation with exceptionally low waste for this item; waste varied on such days. The BOGO deal in the Shift_Notes for 2026-06-25 indicates that its 3 units of waste were artificially suppressed, implying that without a BOGO deal tomorrow, the waste count would be at least 3, if not higher, under similar conditions."
TaroButterCreamBread,2026-06-26,0,6,6,7.5,"The prediction is primarily driven by the 2026-06-18 row, which closely matches tomorrow's NO_STUDENT_DAY status and high humidity without any BOGO deals; CaryHigh_ Status correlated with high waste (6) only under specific high humidity and low traffic conditions, while Shift_Notes indicating ""Absolutely dead in terms of foot traffic"" on 2026-06-18 strongly supported the high waste estimate in the absence of a BOGO deal."
KimchiCroquette,2026-06-26,0,2,2,3.5,"The prediction is driven by NO_STUDENT_DAY rows, noting this status's potential for non-zero waste, and discounted BOGO rows; specific temperatures and humidity levels similar to 2026-06-23 (Waste 2) and 2026-05-16 (Waste 0) were prioritized over 'dead traffic' scenarios from shift notes not anticipated tomorrow."
UbeCreamDonut,2026-06-26,1,2,1,4.5,"The prediction weighted the 2026-05-26 row most heavily due to its very close temperature and humidity match and ""super slow day"" note (a proxy for low demand on a NO_STUDENT_DAY), while also considering the 2026-05-16 row (similar temperature and NO_STUDENT_DAY status, but lower humidity); CaryHigh_ Status for NO_STUDENT_DAY correlated with higher variability and the peak waste counts, indicating potential for increased leftovers without school-day traffic; and Shift_Notes were crucial in discounting rows with BOGO deals, which artificially suppressed waste not expected tomorrow."
ButterCreamBread,2026-06-27,0,1,1,7.5,"The prediction of 1 leftover is primarily driven by 2026-06-18, which presented the closest match in terms of 'Broken Clouds' weather, similar high temperatures (especially the identical low of 81°F), and the absence of BOGO deals on a 'NO_STUDENT_DAY', reflecting a scenario where waste occurred under comparable conditions without a specific demand boost. CaryHigh_ Status showed no strong, consistent correlation with waste for this item; instead, 'Shift_Notes' detailing BOGO deals (which typically suppress waste but sometimes showed high waste for this unpredictable item) and specific demand drivers (like ""Day before Memorial Day"" leading to 0 waste, or ""Absolutely dead"" leading to 1 waste) significantly influenced the assessment of demand patterns."
ChestnutPanBread,2026-06-27,0,2,2,7.5,"The prediction of 2 is primarily driven by the 2026-06-18 row, as it best matched tomorrow's hot temperature profile (97/81 vs 91/81), 'Broken Clouds' weather, and 'NO_STUDENT_DAY' status without a BOGO deal; waste occurs on both school statuses, and BOGO rows were discounted."
ChocoCreamDonut,2026-06-27,0,1,1,4.5,"The prediction heavily weighted two non-BOGO, NO_STUDENT_DAY rows that closely matched tomorrow's broken cloud weather and either humidity (0.72 waste 0) or low temperature (81F waste 2), resulting in an average of 1, as CaryHigh_Status did not strongly correlate with waste for this item, and specific traffic notes from Shift_Notes could not be definitively applied to tomorrow."
ChocoFilledCookie,2026-06-27,4,0,4,3.25,"The prediction is driven by all 13 NO_STUDENT_DAY rows in the tracker, as ChocoFilledCookie waste was consistently 0 on every NO_STUDENT_DAY, which strongly correlates with zero leftovers for this item. Shift_Notes, including BOGO deals, did not affect the estimate as all NO_STUDENT_DAYs already showed 0 waste, making the BOGO effect irrelevant for these specific days."
CreamCheeseGarlicBread,2026-06-27,0,0,0,5.5,"The prediction of 0 waste is driven by the consistent pattern in all six 'NO_STUDENT_DAY' tracker rows without BOGO deals (2026-05-16, 05-23, 05-24, 06-17, 06-18, 06-23), where CreamCheeseGarlicBread_Waste_Count was uniformly 0; 'NO_STUDENT_DAY' strongly correlated with zero waste when no BOGO deal was active, contrasting with a non-zero waste instance on an 'OPEN' day; and Shift_Notes were analyzed to discount BOGO-affected rows, reinforcing the 0-waste pattern for tomorrow's conditions."
CreamCheeseTart,2026-06-27,13,0,13,3.5,"The prediction is driven by the consistent zero waste on all 'NO_STUDENT_DAY' shifts when 'CreamCheeseTart' was not part of a BOGO deal, specifically weighted by the close matches of 2026-05-24 and 2026-06-18 which shared 'Broken Clouds' weather, similar temperatures/humidity, and 'NO_STUDENT_DAY' status. CaryHigh_Status showed no clear sensitivity for this item as waste was consistently zero across both school statuses when no BOGO was present for CreamCheeseTart. BOGO deals involving 'CreamCheeseTart' resulted in high waste counts (6, 9, 13) but were discounted from the forecast as tomorrow has no such deal, aligning with the pattern of zero waste on non-BOGO days."
CurryCroquette,2026-06-27,0,0,0,3.5,"The prediction is based on tracker rows 2026-05-24 and 2026-06-18, which closely match tomorrow's ""Broken Clouds"" weather, high temperatures, and humidity on a NO_STUDENT_DAY. On NO_STUDENT_DAYs without BOGO deals, Curry Croquette waste consistently showed 0, indicating lower demand or better management. All rows with BOGO deals in Shift_Notes were discounted as tomorrow has no deal, following the instruction that BOGO deals artificially suppress waste."
JalapenoCheeseCroissant,2026-06-27,3,0,3,4.25,"The prediction of 0 is primarily driven by tracker rows 2026-05-24 and 2026-06-18, which most closely match tomorrow's 'Broken Clouds' weather, 'NO_STUDENT_DAY' school status, and similar temperature and humidity ranges, both resulting in 0 waste. No strong general correlation was found between CaryHigh_ Status and waste, as 'Shift_Notes' detailing traffic density appeared more influential; all BOGO deals were discounted as tomorrow has no such promotion."
KimchiCroquette,2026-06-27,13,19,6,3.5,"The prediction of 19 pieces is primarily driven by the 2026-06-13 entry, which recorded 19 waste counts on a NO_STUDENT_DAY with 'Broken Clouds' weather, despite having a BOGO deal specifically on Kimchi Croquette. This extreme waste, even with a promotion, indicates exceptionally low underlying demand for the item on a non-school day, implying that without a BOGO deal, waste could be at least as high or higher. CaryHigh_ Status (NO_STUDENT_DAY) generally correlates with higher average waste for this item. The Shift_Notes from 06-13 (a BOGO deal failing to suppress waste) significantly influenced this high estimate for a day without a deal."
MangoCreamDonut,2026-06-27,0,0,0,4.5,"The prediction of zero waste is driven by the close matches of tracker rows 2026-06-18 and 2026-05-24, both aligning with tomorrow's 'Broken Clouds' weather and 'NO_STUDENT_DAY' status, and both resulting in zero waste. CaryHigh_ Status showed no significant correlation with waste for this item, as both 'NO_STUDENT_DAY' and 'OPEN' days without BOGO deals predominantly had zero waste. Shift_Notes detailing BOGO deals were discounted as they artificially suppress waste, ensuring the prediction reflects a standard sales day."
MilkCreamBread,2026-06-27,0,0,0,3.5,"The prediction is driven by days 2026-05-24 and 2026-06-18, which most closely match tomorrow's weather (Broken Clouds), school status (NO_STUDENT_DAY), and had no MilkCreamBread BOGO. CaryHigh_ Status showed that NO_STUDENT_DAYs can have highly variable waste, but under tomorrow's high humidity (0.69), similar historical days consistently resulted in zero waste. Shift_Notes with MilkCreamBread BOGO deals were discounted as instructed, reinforcing reliance on non-deal data for tomorrow's no-deal scenario."
MontBlancPastry,2026-06-27,0,0,0,6.0,"The prediction was primarily driven by tracker rows 2026-05-24 and 2026-06-18, which closely match tomorrow's ""Broken Clouds"" weather and ""NO_STUDENT_DAY"" status with no BOGO deals, both resulting in 0 waste. 'NO_STUDENT_DAY' status generally correlated with low MontBlancPastry waste when BOGO deals were absent, and Shift_Notes indicating BOGO offers were discounted as tomorrow has no special deals."
MorningBread,2026-06-27,0,2,2,6.75,"The prediction is primarily based on tracker row 2026-06-18 due to its strong matches in weather (Broken Clouds), school status (NO_STUDENT_DAY), and similar hot temperature profile; CaryHigh_ Status showed no clear correlation with waste for this item, while ""Absolutely dead in terms of foot traffic"" in Shift_Notes for non-BOGO days consistently led to non-zero waste counts."
PlusMilkRoll,2026-06-27,0,0,0,6.5,"The prediction of 0 waste is primarily driven by rows 2026-05-24 and 2026-06-18 due to their close matches in weather, temperature, and humidity for a NO_STUDENT_DAY; historically, all NO_STUDENT_DAY shifts without BOGO deals resulted in 0 waste for this item."
RedBeanBread,2026-06-27,0,0,0,3.25,"The prediction relies on strong matches from 2026-05-24 and 2026-06-18, both NO_STUDENT_DAY shifts with 'Broken Clouds' weather and similar temperature/humidity resulting in zero waste; while waste for this item shows general unpredictability across CaryHigh_ Statuses, these specific conditions indicate minimal leftovers, and tomorrow's lack of BOGO means no artificial waste suppression to consider."
RedBeanMilkCreamBread,2026-06-27,9,0,9,3.5,"The prediction of zero waste was primarily driven by the row from 2026-05-24, which featured a strong match in weather (Broken Clouds) and humidity (0.72 vs tomorrow's 0.69) for a NO_STUDENT_DAY; other high-humidity, non-BOGO NO_STUDENT_DAY instances also consistently yielded zero waste. While CaryHigh_ Status showed no clear correlation, tomorrow's NO_STUDENT_DAY context was filtered, and BOGO deals on this item were discounted as tomorrow has no deal."
StrawberryCreamCroissant,2026-06-27,0,3,3,5.55,"The prediction of 3 was driven by weighting the 2026-06-25 row (7 waste with a BOGO deal and similar temperature to tomorrow) most heavily, interpreting the ""NO_STUDENT_DAY"" correlation with higher waste, and adjusting for no BOGO deal tomorrow, while balancing against 0 waste days (2026-05-24, 2026-06-18) that had extreme traffic notes not expected tomorrow."
StrawberrySoftBread,2026-06-27,0,0,0,4.25,"The prediction of 0 waste is primarily based on tracker rows 2026-05-24 and 2026-06-18, which closely match tomorrow's Broken Clouds weather, similar humidity and temperature, and NO_STUDENT_DAY status; this status consistently correlates with 0 waste for this item when BOGO deals, which were discounted from consideration for tomorrow, are absent from Shift_Notes."
TaroButterCreamBread,2026-06-27,0,6,6,7.5,"The prediction is primarily based on the 2026-06-18 entry due to its close match in weather (Broken Clouds), temperature (97/81 versus tomorrow's 91/81, with an identical low temperature), and humidity (0.51 versus 0.69) under 'NO_STUDENT_DAY' conditions; 'CaryHigh_ Status' showed no discernible consistent pattern in waste for this item across the data; and the 'Shift_Notes' from the matched row (""Absolutely dead in terms of foot traffic"") with no BOGO deal reinforced the potential for high waste."
UbeCreamDonut,2026-06-27,0,0,0,4.5,"Rows 2026-05-24, 2026-06-18, and 2026-06-26 were weighted highest due to their strong overall match in temperature, humidity, and 'Broken Clouds'/'Mostly Clear' weather descriptions on a NO_STUDENT_DAY; CaryHigh_Status showed no consistent correlation with waste for this item; and BOGO deals specifically on UbeCreamDonut (like 2026-06-05) were excluded as tomorrow has no such deal."
AlmondCroissant,2026-06-30,0,0,0,3.75,"The prediction of 0 is primarily driven by tracker rows 2026-05-16 and 2026-06-18, which most closely matched tomorrow's non-BOGO, NO_STUDENT_DAY context for temperature, humidity, and weather. `CaryHigh_ Status` as `NO_STUDENT_DAY` correlated with typically low (0 or 1) waste in relevant non-BOGO scenarios, while `Shift_Notes` indicating BOGO deals were discounted as tomorrow has no such promotion."
ButterCreamBread,2026-06-30,0,0,0,7.5,"The prediction prioritizes rows matching 'NO_STUDENT_DAY' without BOGO deals, with 2026-05-16 (Temp 88/84, Hum 0.27, Waste 0) being the closest temperature match; no strong school-status sensitivity was detected as zero waste occurred frequently across both school statuses; BOGO deals in Shift_Notes were discounted as tomorrow has no deal, making non-BOGO rows more representative of regular demand."
ChestnutPanBread,2026-06-30,0,2,2,7.5,"The prediction is primarily driven by the 2026-06-18 tracker row, which was a NO_STUDENT_DAY with a very similar humidity (0.51 vs tomorrow's 0.44) and a temperature range (97/81) inclusive of tomorrow's (90/84), and a waste count of 2. CaryHigh_ Status showed no strong correlation with waste, as both NO_STUDENT_DAY and REGULAR_SCHOOL_DAY periods had instances of zero and non-zero waste, suggesting its impact for this item is minimal given the small sample. Shift_Notes reporting BOGO deals were discounted because tomorrow has no deal, and the ""Absolutely dead in terms of foot traffic"" note on 2026-06-18 further supported the prediction of non-zero waste despite the minor difference in weather description."
ChocoCreamDonut,2026-06-30,0,0,0,4.5,"The prediction is driven primarily by tracker rows 2026-06-10 and 2026-05-16, as 2026-06-10 closely matched tomorrow's 'Passing Clouds' weather, temperature, and humidity, while 2026-05-16 had a very similar temperature and matched the 'NO_STUDENT_DAY' status; for this item, CaryHigh_Status showed no clear correlation with waste, and the absence of a BOGO deal for tomorrow led to discounting historically low waste counts on BOGO days, favoring non-BOGO days that predominantly showed zero waste under similar conditions."
